11402372   20230522328734550001081    20        45164     9BG144DK0PC4488234  035LEVYE20             999900000000001402372                                 0100000000000021736510000000000000000000000000000000000000000000000022843800000000000000000000000000000000000000000000000000000000
1484946    20230523000022296974121    20070     45122     8AGEP76B0PR1188144  035IVES                4   0000001966484946                                  0000000000000015478836000000000014380000000000000000000000000000000014800000000000000000000000000000000000000000000000000000000000
12597843   20230517000038475964541    20070     45190     9BGEB76H0RB1079484  035RFREIRE             999900000000002597843                                 0100000000000009445045000000000000000000000000000000000000000000000009837100000000000000000000000000000000000000000000000000000000
12598709   20230517000275486274911    20070     45202     9BGEP76B0RB1084454  035RFREIRE             999900000000002598709                                 0100000000000011316260000000000000000000000000000000000000000000000011806800000000000000000000000000000000000000000000000000000000
12595877   20230511000056008024711    20070     45202     9BGEP76B0RB1087304  035RFREIRE             999900000000002595877                                 0100000000000011316260000000000000000000000000000000000000000000000011806800000000000000000000000000000000000000000000000000000000
12592086   20230504000058547264591    20070     45190     9BGEB76H0RB1068484  035RFREIRE             999900000000002592086                                 0100000000000007201890000000000000000000000000000000000000000000000009922100000000000000000000000000000000000000000000000000000000
1485783    20230531000323872884911    20070     45226     9BGEB76H0RB1105824  035POLLYANA            4   0000001966485783                                  0000000000000013405490000000000013114000000000000000000000000000000013199000000000000000000000000000000000000000000000000000000000
12604256   20230522000097362634871    20070     45202     9BGEP76B0RB1132294  035EDMILSON            999900000000002604256                                 0100000000000011125110000000000000000000000000000000000000000000000011631800000000000000000000000000000000000000000000000000000000
12603055   20230522222238240001631    20070     45190     9BGEB76H0RB1118114  035LEVYE20             999900000000002603055                                 0100000000000011520647000000000000000000000000000000000000000000000012090260000000000000000000000000000000000000000000000000000000
12592281   20230522290267320001321    20070     45190     9BGEB76H0RB1063714  035FABIOH              999900000000002592281                                 0100000000000011520647000000000000000000000000000000000000000000000012090260000000000000000000000000000000000000000000000000000000
1485691    20230531000032936784671    20070     45185     9BGEJ76H0RB1064204  035FRANCISCLE          4   0000000677485691                                  0000000000000014796930000000000014240000000000000000000000000000000014400000000000000000000000000000000000000000000000000000000000
1485306    20230526116765070001861    20070     45116     8AGEB76H0PR1380204  035POLLYANA            4   0000000676485306                                  0000000000000012909748000000000012264000000000000000000000000000000012599000000000000000000000000000000000000000000000000000000000
12595455   20230515313868050001491    20070     45190     9BGEB76H0RB1079984  035FABIOH              999900000000002595455                                 0100000000000011520647000000000000000000000000000000000000000000000012090260000000000000000000000000000000000000000000000000000000
1483777    20230511000064258144461    20070     45116     8AGEB76H0PR1357634  035POLLYANA            4   0000001966483777                                  0000000000000012642731000000000012674000000000000000000000000000000013099000000000000000000000000000000000000000000000000000000000
1485778    20230531000073728644021    20070     45226     8AGEB76H0RR1001134  035CONCEICAO           4   0000000676485778                                  0000000000000013356506000000000013015000000000000000000000000000000013100000000000000000000000000000000000000000000000000000000000
1483786    20230511000056510694531    20070     45116     8AGEB76H0PR1348204  035ALLANY              4   0000000676483786                                  0000000000000013597181000000000012929000000000000000000000000000000013464000000000000000000000000000000000000000000000000000000000
1484330    20230517000447767563151    20070     45122     8AGEP76B0PR1348474  035AUDAN               4   0000000680484330                                  0000000000000003175479000000000015380000000000000000000000000000000016450000000000000000000000000000000000000000000000000000000000
1484905    20230522000014326434601    20070     45160     8AGEN76H0PR1373214  035LILIAE20            4   0000000677484905                                  0000000000000014099609000000000013325000000000000000000000000000000013835000000000000000000000000000000000000000000000000000000000
12593289   20230510000123521014681    20070     45202     9BGEP76B0RB1076754  035RFREIRE             999900000000002593289                                 0100000000000012747874000000000000000000000000000000000000000000000013600080000000000000000000000000000000000000000000000000000000
